topic,question,difficulty,company,category,expected_keywords
System Design,Design YouTube. Focus on video upload and streaming at scale.,Hard,Google,System Design,"CDN,transcoding,chunked upload,storage,metadata DB"
System Design,Design a distributed key-value store like DynamoDB.,Hard,Amazon,System Design,"consistent hashing,replication,eventual consistency,gossip protocol"
System Design,Design Uber's real-time ride matching system.,Hard,Uber,System Design,"geohashing,matching algorithm,websocket,driver location"
System Design,Design Facebook's news feed ranking system.,Hard,Meta,System Design,"ranking,ML signals,fan-out,cache,pub-sub"
System Design,Design a global DNS system.,Hard,Google,System Design,"hierarchy,caching,TTL,anycast,recursive resolver"
Algorithms,Find the median of two sorted arrays in O(log(m+n)).,Hard,Google,Arrays,"binary search,partition,edge cases"
Algorithms,Given n pairs of parentheses generate all valid combinations.,Medium,Google,Recursion,"backtracking,open close count,DFS"
Algorithms,Trapping rain water — find total water trapped.,Hard,Amazon,Arrays,"two pointers,prefix max,stack"
Algorithms,Word break — can a string be segmented using dictionary words?,Medium,Amazon,Dynamic Programming,"DP,memoization,trie"
Algorithms,Merge k sorted linked lists.,Hard,Google,Linked Lists,"min heap,divide and conquer,priority queue"
Algorithms,Clone a graph.,Medium,Meta,Graphs,"BFS,DFS,hashmap,visited"
Algorithms,Maximum profit from stock prices with at most k transactions.,Hard,Amazon,Dynamic Programming,"DP,state machine,space optimization"
Algorithms,Design a data structure that supports insert delete getRandom in O(1).,Hard,Meta,Design,"hashmap,dynamic array,swap trick"
Algorithms,Alien dictionary — find character order from sorted alien words.,Hard,Google,Graphs,"topological sort,BFS,indegree"
Behavioral,Tell me about a time you improved a process significantly.,Medium,Amazon,Behavioral,"ownership,measurable impact,data,STAR"
Behavioral,How do you handle competing priorities when you have multiple deadlines?,Medium,Google,Behavioral,"prioritization,stakeholder,communication,tradeoffs"
Behavioral,Describe a time you took a risk that did not pay off.,Medium,Meta,Behavioral,"risk assessment,learning,fail fast,recovery"
Behavioral,Tell me about a time you mentored someone and the outcome.,Medium,Amazon,Behavioral,"coaching,growth,feedback,impact"
Behavioral,What's the most innovative thing you've built? Walk me through it.,Hard,Google,Behavioral,"technical depth,creativity,business impact"
Operating Systems,Explain the page replacement algorithms and when to use each.,Medium,Google,OS,"LRU,LFU,clock algorithm,working set"
Databases,Explain ACID properties with real-world examples.,Medium,Amazon,Databases,"atomicity,consistency,isolation,durability"
Networking,How does HTTP/2 differ from HTTP/1.1?,Medium,Google,Networking,"multiplexing,header compression,server push,streams"
Python,Explain Python's Global Interpreter Lock and how it affects multithreaded programs.,Medium,General,Python,"GIL,threads,multiprocessing,I/O-bound,CPU-bound"
